Gene,Gene_single,mean log2(fold),mean -log10  p value ,significant in n/4 datasets
MRPS22,MRPS22,"-0,6656293869","2,927255069",3
MRPS24,MRPS24,"0,5720489969","1,959625041",3
MRPS25,MRPS25,"-0,4433279373","2,708519645",3
MRPS27,MRPS27,"-0,3170576934","2,78972779",3
MRPS28,MRPS28,"-0,3511322625","2,726748293",3
MRPS34,MRPS34,"-0,5208976095","2,698089189",3
MT-ND5,MT-ND5,"0,7354393105","1,65373687",3
NAA10;NAA11,NAA10,"-0,3688761344","2,795598063",3
NCAPG2,NCAPG2,"0,2649356611","2,01044814",3
NDUFA10,NDUFA10,"-1,049985123","2,790988133",3
NDUFA13,NDUFA13,"-0,4886494958","2,836816195",3
NDUFA3,NDUFA3,"-1,707156707","2,381357444",3
NDUFAF4,NDUFAF4,"-0,4720398573","2,759012722",3
NDUFB3,NDUFB3,"-0,9165750568","2,774873286",3
NDUFB5,NDUFB5,"-0,607490249","2,848550663",3
NDUFB9,NDUFB9,"-1,623102544","2,412234459",3
NDUFS4,NDUFS4,"-1,229685523","2,385603575",3
NDUFS7,NDUFS7,"-1,074034193","2,879832321",3
NOP10,NOP10,"-0,462201635","2,080386965",3
NUDT5,NUDT5,"-0,2742885136","1,109847471",3
NUP160,NUP160,"0,4399923633","2,587018482",3
OXA1L,OXA1L,"-0,5093225924","2,288093854",3
P4HB,P4HB,"-0,2783255155","1,8688396",3
PABPC1;PABPC3,PABPC1,"-0,4156553348","2,492903195",4
PABPC4,PABPC4,"-0,3265331611","1,580315973",3
PABPN1,PABPN1,"-0,4197644256","2,328037112",3
PCBD1,PCBD1,"0,4702544808","1,595907434",3
PCBP1,PCBP1,"0,3187635541","1,288075238",3
PDCL3,PDCL3,"0,3660201753","2,05849251",3
PHB2,PHB2,"-0,7449136691","2,189153156",3
PLD3,PLD3,"0,4265169178","2,1926503",3
PLGRKT,PLGRKT,"-0,9081834865","2,611434879",3
PMPCA,PMPCA,"0,3289038572","2,641093938",3
POLE3,POLE3,"0,4903296195","2,261137515",3
PPIB,PPIB,"-0,2882415255","1,994183742",3
PPIF,PPIF,"-0,7413811212","2,48172237",3
PPP1R10,PPP1R10,"0,3289463868","1,264664868",3
PRKCSH,PRKCSH,"-0,2820959042","2,335257582",3
PRPF38A,PRPF38A,"0,3864494811","2,405430794",3
RAB5A,RAB5A,"0,2830329612","1,67849986",3
RALA;RALB,RALA,"-0,3431290115","2,347197559",3
RBMX;RBMXL1;RBMXL2,RBMX,"-0,3757088979","2,329091543",3
RNF25,RNF25,"0,4714165802","2,159201141",3
ROMO1,ROMO1,"-1,118590842","2,772175232",3
RPF1,RPF1,"0,2861927462","2,271523496",3
RPL10A,RPL10A,"-0,3765842352","1,79360196",3
RPL11,RPL11,"-0,5240035007","1,785995802",3
RPL12,RPL12,"-0,5889830788","2,162089073",3
RPL13,RPL13,"-0,3641196456","1,941678584",3
RPL14,RPL14,"-0,4042594035","1,494801521",4
RPL15,RPL15,"-0,5177452697","1,851418854",3
RPL17;RPL17-C18orf32,RPL17,"-0,4028297414","2,067557133",3
RPL18A,RPL18A,"-0,3908894062","2,198024162",3
RPL19,RPL19,"-0,5045909882","2,425505833",4
RPL21,RPL21,"-0,3280842039","1,979950727",3
RPL23A,RPL23A,"-0,4074605935","2,124463022",4
RPL24,RPL24,"-0,3181664977","1,72166037",3
RPL26,RPL26,"-0,974503506","2,062619338",3
RPL27,RPL27,"-0,4912084639","2,001930704",3
RPL28,RPL28,"-0,7450235325","2,354438153",4
RPL29,RPL29,"-0,9417564074","2,215627791",3
RPL3,RPL3,"-0,7579344312","2,869909543",3
RPL30,RPL30,"-0,6188427673","2,658559078",4
RPL31,RPL31,"-0,4763611356","1,998457519",4
RPL32,RPL32,"-0,4687300622","2,092627554",3
RPL34,RPL34,"-0,7180087393","2,147810408",3
RPL35A,RPL35A,"-0,348947727","1,19106137",3
RPL36,RPL36,"-0,4085610211","2,431651001",3
RPL37A,RPL37A,"-0,6142370154","2,311138304",3
RPL4,RPL4,"-0,3956174917","1,828269389",3
RPL5,RPL5,"-0,4678179158","2,313306493",4
RPL7,RPL7,"-0,4228908221","1,813563405",3
RPL9,RPL9,"-0,5737161073","2,220282212",4
RPLP0;RPLP0P6,RPLP0,"-0,4572595093","2,236457048",4
RPS11,RPS11,"-0,4141613742","1,756605449",4
RPS12,RPS12,"-0,3779490797","1,55479716",3
RPS15,RPS15,"-0,4608100454","1,854030081",3
RPS16,RPS16,"-0,3609908753","1,67471847",3
RPS18,RPS18,"-0,3222622126","1,907934704",4
RPS19,RPS19,"-0,9100202421","1,800854492",4
RPS2,RPS2,"-0,4373703334","2,04106977",3
